Index,Manufacturer Part Number,Manufacturer Name,Description,Note,Availability,Stock Status,Datasheet,Part Status,Image,Product Notes
1,BK-870-TR,MPD (Memory Protection Devices),BATTERY RETAINER COIN 10MM SMD,,"20,822",In Stock,https://www.memoryprotectiondevices.com/datasheets/BK-870-datasheet.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4572/BK-870-TR.jpg,
2,CR1025,Jauch Quartz,BATTERY LITHIUM 3V COIN 10MM,,"1,000",In Stock,https://www.jauch.com/downloadfile/5d4ab8753eda57b233b10f10758ca5c50/cr1025_jauch.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4233/MFG_CR-1025---3.jpg,No Backorders Allowed. Marketplace Product. A separate shipping fee may apply.
3,MCP9700-E/TO,Microchip Technology,SENSOR ANALOG -40C-125C TO92-3,,"14,896",In Stock,https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP970X-Family-Data-Sheet-DS20001942.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5447/150%7EC04-101%7ETO%2CZB%7E3.JPG,
4,TPS61220DCKR,Texas Instruments,IC REG BOOST ADJ 200MA SC70-6,,"23,832",In Stock,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps61220,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5791/296%7E4093553-4%7EDCK%7E6.jpg,
5,STM32L051K8T6TR,STMicroelectronics,IC MCU 32BIT 64KB FLASH 32LQFP,,"17,419",In Stock,https://www.st.com/content/ccc/resource/technical/document/datasheet/9a/75/bd/16/0f/fd/49/19/DM00108219.pdf/files/DM00108219.pdf/jcr:content/translations/en.DM00108219.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4832/497%7E5V_ME%7EC%7E32.JPG,
6,CPT-1117-83-SMT-TR,Same Sky,"BUZZER PIEZO 5V 12X12MM"" W SMD",,"2,475",In Stock,https://www.cuidevices.com/product/resource/cpt-1117-83-smt-tr.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6134/MFG_2223_CPT-1117-83-SMT-TR.jpg,
7,TLC555CDR,Texas Instruments,IC OSC SGL TIMER 2.1MHZ 8-SOIC,,"21,639",In Stock,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlc555,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/296_8-SOIC.jpg,
8,MIC5504-3.3YM5-TR,Microchip Technology,IC REG LINEAR 3.3V 300MA SOT23-5,,"98,125",In Stock,https://ww1.microchip.com/downloads/en/DeviceDoc/MIC5501-02-03-04-300mA-Single-Output-LDO-in-Small-Packages-DS20006006B.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1092/576-SOT-23-5.jpg,
9,"T2N7002BK,LM",Toshiba Semiconductor and Storage,MOSFET N-CH 60V 400MA SOT23-3,,"207,560",In Stock,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/898/T2N7002BK.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/SOT-23-3%20PKG.jpg,
10,PTS815 SJM 250 SMTR LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,,"69,138",In Stock,https://www.ckswitches.com/media/2728/pts815.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/568/MFG_PTS815.jpg,
11,C1206C104K5RAC7800,KEMET,CAP CER 0.1UF 50V X7R 1206,,"1,768,322",In Stock,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/721/1206-%283216%29.jpg,
12,CC1206KRX7R9BB103,YAGEO,CAP CER 10000PF 50V X7R 1206,,"282,587",In Stock,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2431/1206%280%5E85mm%20thickness%29.jpg,
13,RNCP1206FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/2W 1206,,"1,600,690",In Stock,https://www.seielect.com/catalog/sei-rncp.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
14,ERA-8AEB152V,Panasonic Electronic Components,RES SMD 1.5K OHM 0.1% 1/4W 1206,,"4,374",In Stock,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,Active,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2520/ERA-8A%201206%20%283216%20Metric%29.jpg,
